Time,Time Code,Country Name,Country Code,Adequacy of social insurance programs (% of total welfare of beneficiary households) [per_si_allsi.adq_pop_tot],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Literacy rate, youth (ages 15-24), gender parity index (GPI) [SE.ADT.1524.LT.FM.ZS]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, tertiary (gross), gender parity index (GPI) [SE.ENR.TERT.FM.ZS]"
1990,YR1990,Mongolia,MNG,..,..,..,..,..,4.232,5030.07325217591,..,58.765,..,107.4,0.1,..,..
1990,YR1990,Montenegro,MNE,..,..,..,..,..,1.944,..,..,75.5668780487805,..,16.5,0.1,..,..
1990,YR1990,Morocco,MAR,..,1494.79663085938,..,..,..,4.018,4119.8720703125,6.6,62.448,..,80.8,0.1,0.692330002784729,0.581139981746674
1990,YR1990,Mozambique,MOZ,..,..,..,..,..,6.221,460.9659065576,..,44.469,..,245.7,..,0.727569997310638,..
1990,YR1990,Myanmar,MMR,..,..,..,..,..,3.543,616.312938230051,..,56.661,..,115.3,0.1,0.920029997825623,..
1990,YR1990,Namibia,NAM,..,2076.92045341688,..,..,..,5.321,6223.45299390074,..,62.496,..,72.8,2,1.08800995349884,..
1990,YR1990,Nauru,NRU,..,..,..,..,..,3.954,..,..,61.356,..,67.2,..,..,..
1990,YR1990,Nepal,NPL,..,..,..,..,..,5.208,1554.602042967,..,54.833,..,138.6,0.1,0.551310002803802,0.316289991140366
1990,YR1990,New Caledonia,NCL,..,..,..,..,..,3.18,..,..,70.4853658536585,..,..,..,..,..
1990,YR1990,New Zealand,NZL,..,19715.8395452348,..,..,..,2.18,27998.3977677454,..,75.3780487804878,..,11.2,0.1,0.992280006408691,1.08290994167328
1990,YR1990,Nicaragua,NIC,..,..,..,..,..,4.596,3409.80248204744,..,63.096,..,66.9,0.1,..,1.07331001758575
1990,YR1990,Niger,NER,..,436.268161328618,..,..,..,7.806,1077.87066621344,..,41.852,..,331.6,0.2,0.528339982032776,0.18299999833107
1990,YR1990,Nigeria,NGA,..,..,6,..,..,6.459,3259.58117515554,..,46.037,..,209.3,1,0.782169997692108,..
1990,YR1990,North Macedonia,MKD,..,..,..,..,..,2.185,11111.2095523312,..,71.2338048780488,..,36.9,..,..,1.03320002555847
1990,YR1990,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,YR1990,Norway,NOR,..,31202.673774797,..,..,..,1.93,42302.2634118752,..,76.5373170731707,..,8.7,0.1,1.02295005321503,1.17568004131317
1990,YR1990,Oman,OMN,..,..,..,..,..,6.606,30462.2010842738,..,69.782,..,39,0.1,0.848380029201508,1.11866998672485
1990,YR1990,Pakistan,PAK,..,915.080307828828,..,..,..,6.364,3034.11326837161,8.1,60.066,..,139.8,0.1,0.497209995985031,0.404159992933273
1990,YR1990,Palau,PLW,..,..,..,..,..,2.84,..,..,69.0692682926829,..,35.3,..,..,..
1990,YR1990,Panama,PAN,..,..,..,..,..,3.096,11211.8311737749,..,71.097,0.993539988994598,31.4,..,1.00038003921509,..
