"time","country","country_code","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
1990,"Paraguay","PRY",NA,NA,48.4,NA,NA,4.547,8818.62937058954,5.8,67.944,NA,45.6,0.1,0.984740018844604,NA
1990,"Peru","PER",NA,2097.08181976271,NA,NA,NA,3.912,5240.25762333255,NA,65.106,NA,80.2,0.4,NA,NA
1990,"Philippines","PHL",NA,1632.84668952659,NA,NA,NA,4.352,4232.47759454036,NA,65.909,1.00619995594025,56.6,0.1,0.99769002199173,NA
1990,"Poland","POL",NA,NA,NA,NA,NA,2.06,11259.4374539943,NA,70.890243902439,NA,17.4,NA,1.00764000415802,1.32693004608154
1990,"Portugal","PRT",NA,11602.8294784659,NA,NA,NA,1.56,23556.8562074936,NA,73.9658536585366,NA,14.7,0.2,0.970719993114471,NA
1990,"Puerto Rico","PRI",NA,NA,NA,NA,NA,2.378,21595.9785599867,NA,73.89,1.02005994319916,NA,NA,NA,NA
1990,"Qatar","QAT",NA,NA,NA,NA,NA,4.176,NA,NA,73.982,NA,20.8,0.1,1.05467998981476,1.79841005802155
1990,"Romania","ROU",NA,2501.90680375156,NA,NA,NA,1.83,13376.0672299739,NA,69.7412195121951,NA,31.1,0.1,0.979770004749298,0.960250020027161
1990,"Rwanda","RWA",NA,241.492061508831,NA,NA,NA,6.873,933.082993671719,NA,48.431,NA,149.9,2.8,0.956309974193573,0.230419993400574
1990,"Samoa","WSM",NA,NA,NA,NA,NA,4.93,3655.95187219683,NA,67.658,NA,29.8,NA,NA,NA
1990,"San Marino","SMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,NA,NA,NA
1990,"Sao Tome and Principe","STP",NA,NA,NA,NA,NA,5.828,NA,NA,61.471,NA,108.8,1.5,NA,NA
1990,"Senegal","SEN",NA,864.712640775052,NA,NA,NA,6.396,2469.60318819494,NA,56.948,NA,138.6,0.1,0.678680002689362,NA
1990,"Serbia","SRB",NA,NA,NA,NA,NA,1.743,NA,NA,70.2292195121951,NA,28.3,0.1,NA,NA
1990,"Seychelles","SYC",NA,6486.78798241898,NA,NA,NA,NA,15538.3847457217,NA,68.1073170731707,NA,16.3,NA,NA,NA
1990,"Sierra Leone","SLE",NA,NA,NA,NA,NA,6.567,1433.118655869,NA,44.057,NA,260.5,0.7,0.650269985198975,NA
1990,"Singapore","SGP",NA,NA,NA,NA,NA,1.83,37326.3042375656,NA,75.2951219512195,1.00231003761292,7.7,0.1,NA,NA
