"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Gambia, The","GMB",0.197190027,NA,519.074866475935,12.9333333333333,NA,3.5,5.87755,2034.57571282284,4.55,56.49275,0.643360018730164,118.18,1.21,0.785884286676134,0.346060002843539
"Guinea-Bissau","GNB",0.540905804,NA,393.070526400336,8.95,NA,2.6,5.83145,1817.68258903582,6.4,50.2829,0.613669991493225,174.95,2.575,0.644640028476715,NA
"Greece","GRC",0.006583139,NA,19028.295736951,61.3,NA,NA,1.329,29745.4760442217,6.85555555555556,78.3381707317073,1.00015334288279,6.75,0.1,0.998179992039999,1.06414411699071
"Guatemala","GTM",1.306823663,15.4731522313284,2824.13893917384,41.75,4.6984108331119,NA,4.57665,6407.02849746177,3.35,66.729,0.892655000090599,55.11,0.435,0.911183077555436,0.961920003096262
"Guyana","GUY",7.170624212,NA,NA,37.36,NA,3.9,2.9602,7372.45328481177,4.2,64.2774,1.01332998275757,48.06,0.65,0.988440006971359,1.19785364649513
"Hong Kong SAR, China","HKG",0.004354373,NA,NA,83.875,NA,NA,1.1012,37815.400267284,NA,80.3436585365854,NA,NA,NA,1.0251499414444,0.897417992353439
"Honduras","HND",1.255291226,24.3360154476713,1629.06992469649,55.725,2.23658116379661,4,4.22325,4163.68192430449,2.81578947368421,68.08695,1.02774398326874,40.7,0.71,1.06408497691154,1.03485900163651
"Croatia","HRV",0.002494289,36.4472749805602,7950.34933633094,NA,54.7431290026623,NA,1.4965,20949.9982104463,6.9,73.5933414634146,0.999734997749328,8.76,0.1,1.01872812211514,1.10580499842763
"Haiti","HTI",0.840315026,NA,1113.15959862769,26.0333333333333,NA,3,4.42335,3043.92810490937,NA,57.57845,0.961964994668961,108.785,2.62,NA,NA
"Hungary","HUN",0.088105351,61.2359004923431,7466.46497812529,71.25,57.1208107066803,NA,1.4475,20173.656083541,8.4,71.2868048780488,1,10.73,NA,1.00070105100933,1.19381150603294
"Indonesia","IDN",0.160589722,NA,1433.98171621374,56.2111111111111,NA,3.5,2.65025,6011.98990631061,8.45333333333333,66.1383,0.992376005649567,56.085,0.13,0.961613337198893,0.830693845565503
"India","IND",4.356108992,NA,655.007301556979,50.6142857142857,NA,3.5,3.3507,2630.29647046674,8.63333333333333,62.55045,0.772339979807536,93.6,0.39,0.833928470428173,0.647680716855185
"Ireland","IRL",0.004907369,NA,26825.3182008792,69.25,NA,NA,1.9505,43794.7371475224,7.60833333333333,77.1005451219512,NA,6.645,0.1,1.03096949458122,1.10028849244118
"Iran, Islamic Rep.","IRN",3.056791917,NA,3902.91572589634,71.1125,NA,NA,2.53865,11644.4820285024,5.25,69.3971,0.95881199836731,37.355,0.1,0.91892444425159,0.97132250169913
